worker,source_file,recording_type,center_seconds,sequence_label,event_subtype,event_peak_acceleration_g,event_peak_gyroscope_dps,event_peak_jerk_g_per_second,event_rotation_integral_deg,posture_change_post_deg,posture_change_late_deg,post_accel_std_g,post_gyro_mean_dps,late_accel_std_g,late_gyro_mean_dps
kwanteng,KT_Normal.csv,normal_work,28.029,normal,normal_work,1.47665,179.00372,7.72172,176.91153,1.55404,4.34435,0.21525,84.23649,0.15122,73.47203
kwanteng,KT_Normal.csv,normal_work,29.029,normal,normal_work,1.61632,155.5026,15.92859,177.22487,1.93759,3.997,0.21851,77.86359,0.11665,74.32748
kwanteng,KT_Normal.csv,normal_work,30.029,normal,normal_work,1.61632,155.01768,15.92859,174.93782,3.50551,5.91708,0.18861,82.21604,0.12324,71.39527
kwanteng,KT_Normal.csv,normal_work,31.029,normal,normal_work,1.42622,158.17683,16.13261,165.89532,3.60144,3.1093,0.15721,73.74254,0.13894,75.05816
kwanteng,KT_Normal.csv,normal_work,32.029,normal,normal_work,1.42622,158.17683,16.13261,158.72675,6.28674,4.21696,0.11262,72.63055,0.15682,72.2675
kwanteng,KT_Normal.csv,normal_work,33.029,normal,normal_work,1.37458,160.2287,12.21355,151.45408,5.2255,3.03093,0.1251,72.28575,0.15476,70.69937
kwanteng,KT_Normal.csv,normal_work,34.029,normal,normal_work,1.37458,176.31465,12.21355,152.73746,1.75712,2.66948,0.12388,72.16408,0.17643,74.16553
kwanteng,KT_Normal.csv,normal_work,35.029,normal,normal_work,1.2923,176.31465,6.85283,140.89396,4.12867,2.4278,0.15749,73.82345,0.16109,67.28334
kwanteng,KT_Normal.csv,normal_work,36.029,normal,normal_work,1.26357,181.99101,8.47411,133.05422,1.90463,2.11623,0.15706,71.40888,0.16544,70.14347
kwanteng,KT_Normal.csv,normal_work,37.029,normal,normal_work,1.33909,181.99101,8.47411,147.79662,1.97798,0.73703,0.17296,70.99203,0.14774,67.82104
kwanteng,KT_Normal.csv,normal_work,38.029,normal,normal_work,1.34097,136.55467,12.91372,146.71807,0.67992,1.71179,0.15406,68.93447,0.14141,72.88337
kwanteng,KT_Normal.csv,normal_work,39.029,normal,normal_work,1.36986,147.2135,12.91372,146.07696,2.72754,3.65875,0.16935,66.60299,0.12681,72.03376
kwanteng,KT_Normal.csv,normal_work,40.029,normal,normal_work,1.36986,147.2135,8.13307,131.59587,4.23175,6.71558,0.15265,65.43558,0.13583,79.08588
kwanteng,KT_Normal.csv,normal_work,41.029,normal,normal_work,1.37701,155.25494,8.58254,134.05129,3.9331,3.35681,0.14573,71.99327,0.13268,68.73945
kwanteng,KT_Normal.csv,normal_work,42.029,normal,normal_work,1.4134,155.25494,8.58254,136.03566,0.68043,5.59715,0.11247,74.62264,0.13893,66.98837
kwanteng,KT_Normal.csv,normal_work,43.029,normal,normal_work,1.4134,185.92106,7.93291,132.36003,4.1723,3.08331,0.11644,78.07522,0.12603,65.3271
kwanteng,KT_Normal.csv,normal_work,44.029,normal,normal_work,1.34439,185.92106,7.20075,135.64488,4.26255,3.60235,0.13992,70.9166,0.10008,65.8947
kwanteng,KT_Normal.csv,normal_work,45.029,normal,normal_work,1.1655,184.85875,7.53277,144.87441,4.47355,4.40213,0.141,67.84851,0.11391,64.72563
kwanteng,KT_Normal.csv,normal_work,46.029,normal,normal_work,1.23847,184.85875,10.60836,146.85315,0.81845,2.79482,0.13174,65.15885,0.12201,62.25743
kwanteng,KT_Normal.csv,normal_work,47.029,normal,normal_work,1.33868,152.70735,10.60836,146.99293,4.81755,2.38525,0.10193,66.31532,0.13006,60.75812
