worker,recording_type,source_file,packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps
kwanteng,fall_like,KT_Fall_cleaned.csv,147,2026-08-03 12:34:23.515,9.58561,43.098000000000525,-0.25,-0.33,0.89,0.61,-1.16,0.12,0.981580358401695,1.3160927019021114
kwanteng,fall_like,KT_Fall_cleaned.csv,149,2026-08-03 12:34:23.559,9.629121,43.510999999998745,-0.25,-0.33,0.89,0.55,-1.46,0.18,0.981580358401695,1.570509471477329
kwanteng,fall_like,KT_Fall_cleaned.csv,151,2026-08-03 12:34:23.690,9.760636,131.51500000000027,-0.25,-0.34,0.9,0.49,-2.14,-0.06,0.994032192637643,2.19620126582242
kwanteng,fall_like,KT_Fall_cleaned.csv,153,2026-08-03 12:34:23.691,9.76133,0.6939999999993063,-0.23,-0.35,0.96,1.71,-2.08,-0.73,1.047377677822093,2.789874549150911
kwanteng,fall_like,KT_Fall_cleaned.csv,155,2026-08-03 12:34:23.692,9.762756,1.4260000000003714,-0.22,-0.34,1.01,7.81,3.54,-3.05,1.08816359064251,9.101109822433745
kwanteng,fall_like,KT_Fall_cleaned.csv,156,2026-08-03 12:34:23.693,9.763546,0.7900000000002905,-0.2,-0.29,1.01,19.35,13.0,-6.9,1.0696728471827264,24.31115998877882
kwanteng,fall_like,KT_Fall_cleaned.csv,158,2026-08-03 12:34:23.735,9.804273,40.7270000000004,-0.14,-0.25,0.92,29.48,8.61,-9.7,0.9635870484808314,32.20702563106379
kwanteng,fall_like,KT_Fall_cleaned.csv,160,2026-08-03 12:34:23.822,9.892039,87.76600000000023,0.01,-0.26,0.7,33.63,-22.64,-6.29,0.7467931440499437,41.02573095022196
kwanteng,fall_like,KT_Fall_cleaned.csv,162,2026-08-03 12:34:23.823,9.893382,1.3430000000003162,0.19,-0.25,0.6,41.44,-70.62,8.54,0.6772001181334806,82.32490267227773
kwanteng,fall_like,KT_Fall_cleaned.csv,163,2026-08-03 12:34:23.865,9.935415,42.03299999999999,0.19,-0.25,0.6,62.5,-97.72,23.74,0.6772001181334806,118.4020101180719
kwanteng,fall_like,KT_Fall_cleaned.csv,164,2026-08-03 12:34:23.866,9.935888,0.4729999999995016,0.28,-0.22,0.75,62.5,-97.72,23.74,0.8302409288875128,118.4020101180719
kwanteng,fall_like,KT_Fall_cleaned.csv,165,2026-08-03 12:34:23.909,9.979008,43.12000000000005,0.17,-0.18,0.86,76.35,-70.98,38.15,0.8949301648732151,111.00858255108025
kwanteng,fall_like,KT_Fall_cleaned.csv,167,2026-08-03 12:34:24.040,10.110525,131.51700000000056,-0.06,-0.1,0.8,60.97,-18.86,53.59,0.8084553172563096,83.3362382160366
kwanteng,fall_like,KT_Fall_cleaned.csv,169,2026-08-03 12:34:24.041,10.111708,1.182999999999268,-0.29,-0.01,0.85,41.81,18.19,46.2,0.8981647955692763,64.91064781682586
kwanteng,fall_like,KT_Fall_cleaned.csv,170,2026-08-03 12:34:24.042,10.112456,0.7479999999997489,-0.29,-0.01,0.85,28.02,43.95,14.65,0.8981647955692763,54.141900594641115
kwanteng,fall_like,KT_Fall_cleaned.csv,171,2026-08-03 12:34:24.043,10.113171,0.7149999999995771,-0.47,0.04,0.99,28.02,43.95,14.65,1.0966312051004201,54.141900594641115
kwanteng,fall_like,KT_Fall_cleaned.csv,172,2026-08-03 12:34:24.043,10.113894,0.7230000000006953,-0.62,0.05,1.16,-10.44,65.43,-16.97,1.3162446581088183,68.39634054538298
kwanteng,fall_like,KT_Fall_cleaned.csv,174,2026-08-03 12:34:24.171,10.241616,127.72200000000034,-0.67,-0.04,1.27,-69.95,64.94,-27.59,1.436453967240162,99.35499081576124
kwanteng,fall_like,KT_Fall_cleaned.csv,176,2026-08-03 12:34:24.173,10.243154,1.5380000000000393,-0.56,-0.28,1.16,-123.6,30.09,-10.86,1.3181805642627265,127.6726583885524
kwanteng,fall_like,KT_Fall_cleaned.csv,177,2026-08-03 12:34:24.173,10.243588,0.4340000000002675,-0.56,-0.28,1.16,-131.16,15.26,15.32,1.3181805642627265,132.93049161121763
kwanteng,fall_like,KT_Fall_cleaned.csv,178,2026-08-03 12:34:24.346,10.416809,173.22099999999983,-0.38,-0.47,0.94,-131.16,15.26,15.32,1.1175419455215092,132.93049161121763
kwanteng,fall_like,KT_Fall_cleaned.csv,179,2026-08-03 12:34:24.348,10.417221,0.41199999999896875,-0.31,-0.52,0.84,-110.84,62.62,55.11,1.0354226190305096,138.72232012188954
kwanteng,fall_like,KT_Fall_cleaned.csv,181,2026-08-03 12:34:24.348,10.418509,1.288000000000622,-0.37,-0.5,0.84,-135.25,72.45,88.01,1.0452272480183435,176.88223511704052
kwanteng,fall_like,KT_Fall_cleaned.csv,185,2026-08-03 12:34:24.351,10.421759,3.249999999999531,-0.26,-0.36,0.8,-99.61,-157.65,13.79,0.91498633869583,186.99154713515796
kwanteng,fall_like,KT_Fall_cleaned.csv,186,2026-08-03 12:34:24.478,10.547256,125.49700000000108,-0.14,-0.32,0.82,51.88,-134.58,-9.03,0.8912911982062877,144.5159219601771
kwanteng,fall_like,KT_Fall_cleaned.csv,188,2026-08-03 12:34:24.479,10.548482,1.2259999999990612,-0.15,-0.34,0.85,106.93,-51.94,-27.4,0.9276852914647294,121.99405108446888
